family,genus,aerobic_status,gram_stain,spore_formation,saccharolytic,num_species
Lactobacillaceae,Lactobacillus,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,191
Streptococcaceae,Lactococcus,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,15
Leptotrichiaceae,Leptotrichia,variable,Gram-negative,not indicated,saccharolytic,7
Burkholderiaceae,Limnobacter,obligate anaerobe,Gram-negative,non-spore forming,asaccharolytic,2
Veillonellaceae,Megasphaera,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,7
Phyllobacteriaceae,Mesorhizobium,aerobe,Gram-negative,non-spore forming,saccharolytic,41
Methylophilaceae,Methylophilus,aerobe,Gram-negative,non-spore forming,saccharolytic,6
Rhodocyclaceae,Methyloversatilis,not indicated,Gram-negative,not indicated,not indicated,3
Microbacteriaceae,Microbacterium,aerobe,Gram-positive,not indicated,not indicated,97
Micrococcaceae,Micrococcus,aerobe,Gram-positive,non-spore forming,not indicated,9
Propionibacteriaceae,Microlunatus,aerobe,Gram-positive,non-spore forming,not indicated,7
Lachnospiraceae,Mobilitalea,obligate anaerobe,Gram-positive,spore forming,not indicated,1
Actinomycetaceae,Mobiluncus,anaerobe (unspecified),Gram-variable,non-spore forming,saccharolytic,3
Unclassified Clostridiales,Mogibacterium,obligate anaerobe,Gram-positive,non-spore forming,asaccharolytic,5
Lachnospiraceae,Moryella,obligate anaerobe,Gram-variable,non-spore forming,saccharolytic,1
Unclassified Clostridiales,Murdochiella,obligate anaerobe,Gram-positive,not indicated,asaccharolytic,1
Lachnospiraceae,Murimonas,obligate anaerobe,Gram-positive,non-spore forming,not indicated,1
Neisseriaceae,Neisseria,aerobe,Gram-negative,non-spore forming,mixed,20
Chitinophagaceae,Niastella,aerobe,Gram-negative,not indicated,not indicated,5
Sphingomonadaceae,Novosphingobium,obligate anaerobe,Gram-negative,non-spore forming,not indicated,36
Brucellaceae,Ochrobactrum,obligate anaerobe,Gram-negative,not indicated,saccharolytic,17
Porphyromonadaceae,Odoribacter,anaerobe (unspecified),Gram-positive,non-spore forming,not indicated,3
Sphingobacteriaceae,Olivibacter,obligate anaerobe,Gram-negative,non-spore forming,not indicated,6
Atopobacteriaceae,Olsenella,obligate anaerobe,Gram-positive,non-spore forming,not indicated,4
Lachnospiraceae,Oribacterium,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,3
Oscillospiraceae,Oscillibacter,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,2
Clostridiaceae,Oxobacter,obligate anaerobe,Gram-positive,spore forming,not indicated,1
Ruminococcaceae,Papillibacter,obligate anaerobe,Gram-positive,non-spore forming,not indicated,1
Porphyromonadaceae,Parabacteroides,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,8
Rhodobacteraceae,Paracoccus,obligate anaerobe,Gram-negative,non-spore forming,asaccharolytic,46
Lactobacillaceae,Paralactobacillus,not indicated,Gram-positive,non-spore forming,saccharolytic,1
Prevotellaceae,Paraprevotella,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,2
Bifidobacteriaceae,Parascardovia,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Sutterellaceae,Parasutterella,obligate anaerobe,Gram-negative,non-spore forming,asaccharolytic,2
Eggerthellaceae,Parvibacter,obligate anaerobe,Gram-positive,non-spore forming,not indicated,1
Patulibacteraceae,Patulibacter,aerobe,Gram-positive,non-spore forming,not indicated,4
Sphingobacteriaceae,Pedobacter,obligate anaerobe,Gram-negative,not indicated,saccharolytic,61
Syntrophomonadaceae,Pelospora,obligate anaerobe,not indicated,spore forming,not indicated,1
Peptococcaceae,Pelotomaculum,obligate anaerobe,Gram-variable,spore forming,not indicated,5
Peptoniphilaceae,Peptoniphilus,obligate anaerobe,Gram-positive,non-spore forming,asaccharolytic,15
Comamonadaceae,Polaromonas,aerobe,Gram-negative,not indicated,not indicated,7
Porphyromonadaceae,Porphyromonas,obligate anaerobe,Gram-negative,non-spore forming,asaccharolytic,17
Prevotellaceae,Prevotella,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,46
Propionibacteriaceae,Propionibacterium,microaerobe or anaerobe,Gram-positive,non-spore forming,saccharolytic,16
Propionibacteriaceae,Propionimicrobium,anaerobe (unspecified),Gram-positive,non-spore forming,saccharolytic,1
Lachnospiraceae,Pseudobutyrivibrio,anaerobe (unspecified),Gram-negative,non-spore forming,not indicated,2
Unclassified Clostridiales,Pseudoflavonifractor,obligate anaerobe,Gram-negative,non-spore forming,not indicated,1
Pseudomonadaceae,Pseudomonas,variable,Gram-negative,not indicated,mixed,176
Eubacteriaceae,Pseudoramibacter,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Lysobacteraceae,Pseudoxanthomonas,aerobe,Gram-negative,not indicated,not indicated,17
Moraxellaceae,Psychrobacter,aerobe,Gram-negative,non-spore forming,not indicated,37
Synergistaceae,Pyramidobacter,obligate anaerobe,not indicated,not indicated,asaccharolytic,1
Burkholderiaceae,Ralstonia,aerobe,Gram-negative,not indicated,not indicated,8
Lachnospiraceae,Robinsoniella,anaerobe (unspecified),Gram-positive,spore forming,saccharolytic,1
Lachnospiraceae,Roseburia,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,5
Micrococcaceae,Rothia,microaerobe or aerobe,not indicated,non-spore forming,saccharolytic,7
Ruminococcaceae,Ruminococcus,obligate anaerobe,Gram-positive,not indicated,saccharolytic,10
Selenomonadaceae,Schwartzia,anaerobe (unspecified),Gram-negative,non-spore forming,asaccharolytic,1
Chitinophagaceae,Sediminibacterium,obligate anaerobe,Gram-negative,not indicated,not indicated,3
Lachnospiraceae,Shuttleworthia,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Eggerthellaceae,Slackia,obligate anaerobe,Gram-positive,non-spore forming,asaccharolytic,6
Leptotrichiaceae,Sneathia,anaerobe (unspecified),Gram-negative,not indicated,saccharolytic,1
Unclassified Clostridiales,Soehngenia,anaerobe (unspecified),Gram-positive,spore forming,saccharolytic,1
Sphingomonadaceae,Sphingobium,aerobe,Gram-negative,non-spore forming,asaccharolytic,41
Sphingomonadaceae,Sphingomonas,aerobe,Gram-negative,non-spore forming,asaccharolytic,82
Sphingomonadaceae,Sphingopyxis,aerobe,Gram-positive,non-spore forming,not indicated,19
Ruminococcaceae,Sporobacter,obligate anaerobe,Gram-positive,spore forming,not indicated,1
Lachnospiraceae,Sporobacterium,obligate anaerobe,Gram-positive,spore forming,asaccharolytic,1
Staphylococcaceae,Staphylococcus,facultative anaerobe,Gram-positive,not indicated,saccharolytic,61
Lysobacteraceae,Stenotrophomonas,not indicated,Gram-negative,non-spore forming,not indicated,12
